row_count,gb_char,utf_bytes,unicode_id,unknown
1989,躇,B3F9,8E87,E8BA87
1990,锄,B3FA,9504,E99484
1991,雏,B3FB,96CF,E99B8F
1992,滁,B3FC,6EC1,E6BB81
1993,除,B3FD,9664,E999A4
1994,楚,B3FE,695A,E6A59A
2001,础,B4A1,7840,E7A180
2002,储,B4A2,50A8,E582A8
2003,矗,B4A3,77D7,E79F97
2004,搐,B4A4,6410,E69090
2005,触,B4A5,89E6,E8A7A6
2006,处,B4A6,5904,E5A484
2007,揣,B4A7,63E3,E68FA3
2008,川,B4A8,5DDD,E5B79D
2009,穿,B4A9,7A7F,E7A9BF
2010,椽,B4AA,693D,E6A4BD
2011,传,B4AB,4F20,E4BCA0
2012,船,B4AC,8239,E888B9
2013,喘,B4AD,5598,E59698
2014,串,B4AE,4E32,E4B8B2
2015,疮,B4AF,75AE,E796AE
2016,窗,B4B0,7A97,E7AA97
2017,幢,B4B1,5E62,E5B9A2
2018,床,B4B2,5E8A,E5BA8A
2019,闯,B4B3,95EF,E997AF
2020,创,B4B4,521B,E5889B
2021,吹,B4B5,5439,E590B9
2022,炊,B4B6,708A,E7828A
2023,捶,B4B7,6376,E68DB6
2024,锤,B4B8,9524,E994A4
2025,垂,B4B9,5782,E59E82
2026,春,B4BA,6625,E698A5
2027,椿,B4BB,693F,E6A4BF
2028,醇,B4BC,9187,E98687
2029,唇,B4BD,5507,E59487
2030,淳,B4BE,6DF3,E6B7B3
2031,纯,B4BF,7EAF,E7BAAF
2032,蠢,B4C0,8822,E8A0A2
2033,戳,B4C1,6233,E688B3
2034,绰,B4C2,7EF0,E7BBB0
2035,疵,B4C3,75B5,E796B5
2036,茨,B4C4,8328,E88CA8
2037,磁,B4C5,78C1,E7A381
2038,雌,B4C6,96CC,E99B8C
2039,辞,B4C7,8F9E,E8BE9E
2040,慈,B4C8,6148,E68588
2041,瓷,B4C9,74F7,E793B7
2042,词,B4CA,8BCD,E8AF8D
2043,此,B4CB,6B64,E6ADA4
2044,刺,B4CC,523A,E588BA
2045,赐,B4CD,8D50,E8B590
2046,次,B4CE,6B21,E6ACA1
2047,聪,B4CF,806A,E881AA
2048,葱,B4D0,8471,E891B1
2049,囱,B4D1,56F1,E59BB1
2050,匆,B4D2,5306,E58C86
2051,从,B4D3,4ECE,E4BB8E
2052,丛,B4D4,4E1B,E4B89B
2053,凑,B4D5,51D1,E58791
2054,粗,B4D6,7C97,E7B297
2055,醋,B4D7,918B,E9868B
2056,簇,B4D8,7C07,E7B087
2057,促,B4D9,4FC3,E4BF83
2058,蹿,B4DA,8E7F,E8B9BF
2059,篡,B4DB,7BE1,E7AFA1
2060,窜,B4DC,7A9C,E7AA9C
2061,摧,B4DD,6467,E691A7
2062,崔,B4DE,5D14,E5B494
2063,催,B4DF,50AC,E582AC
2064,脆,B4E0,8106,E88486
2065,瘁,B4E1,7601,E79881
2066,粹,B4E2,7CB9,E7B2B9
2067,淬,B4E3,6DEC,E6B7AC
2068,翠,B4E4,7FE0,E7BFA0
2069,村,B4E5,6751,E69D91
2070,存,B4E6,5B58,E5AD98
2071,寸,B4E7,5BF8,E5AFB8
2072,磋,B4E8,78CB,E7A38B
2073,撮,B4E9,64AE,E692AE
2074,搓,B4EA,6413,E69093
2075,措,B4EB,63AA,E68EAA
2076,挫,B4EC,632B,E68CAB
2077,错,B4ED,9519,E99499
2078,搭,B4EE,642D,E690AD
2079,达,B4EF,8FBE,E8BEBE
2080,答,B4F0,7B54,E7AD94
2081,瘩,B4F1,7629,E798A9
2082,打,B4F2,6253,E68993
2083,大,B4F3,5927,E5A4A7
2084,呆,B4F4,5446,E59186
